tID,Name,Surname,CityDistrict,Birthdate,Gender,Subject,Pesel
0,Stephanie,Pope,Jasien,1998-10-05,Female,PE,98100513134
1,Brian,Walker,Lostowice,1998-01-04,Male,Mathematics,98010436031
2,Linda,Henry,Gdansk centrum,1965-07-15,Female,Ethics,65071575328
3,Chase,Parrish,Orunia,1959-04-05,Male,Music,59040500345
4,Matthew,Brown,Lostowice,1982-08-23,Male,Geography,82082333061
5,Shelia,Butler,Stocznia,1975-12-14,Female,Mathematics,75121416914
6,Theresa,Thomas,Stocznia,1960-11-03,Other,Geography,60110360148
7,Wanda,Berry,Redlowo,1974-09-12,Female,Chemistry,74091232634
8,Mary,Williams,Gdansk centrum,1962-04-23,Female,English,62042304430
9,Maria,Burke,Wrzeszcz,1972-01-10,Female,English,72011076330
10,Wendy,Lowery,Gdansk centrum,1995-02-04,Female,French,95020420248
11,Amy,Bell,Lostowice,1984-07-07,Female,History,84070706338
12,Sara,Long,Redlowo,1966-11-14,Female,Biology,66111473276
13,Gregory,Thompson,Wejherowo,1975-06-03,Other,Music,75060346568
14,Brittany,Jones,Jasien,1978-09-12,Female,Art,78091248930
15,Monique,Jones,Wejherowo,1995-05-01,Female,Economics,95050187700
16,Marcus,Gonzalez,Lostowice,1975-06-11,Male,English,75061129167
17,Gina,Cross,Gdynia centrum,1998-03-07,Other,German,98030774500
18,Jackson,Shelton,Gdansk centrum,1959-05-11,Male,PE,59051110797
19,Richard,Tapia,Stocznia,1967-10-10,Other,Geography,67101046670
